,SPECIES,AVGHT,MAXHT
390,giant sequoia,164.0909090909091,260
185,Tasmanian bluegum,143.0,170
118,Monterey pine,108.1,148
609,redwood,99.89008810572687,325
496,mangrove,97.28125,140
680,sugar pine,96.16622922134734,248
628,sapodilla,95.0,120
75,Dysoxylum mollissimum ssp. Molle,90.0,105
415,gulos,86.0,86
493,mangle,85.70212765957447,137
71,Douglas-fir,82.94647766038486,303
525,noble fir,80.98550171690195,248
731,western larch,80.18084408484583,176
254,"bkau, apgau",80.0,80
44,California red fir,79.7189446683767,220
45,California sycamore,78.47058823529412,150
257,black cottonwood,76.80668756530825,195
169,Shasta red fir,76.45327102803738,220
49,Campnosperma brevipetiolata,76.3409090909091,117
244,bigcone Douglas-fir,76.33333333333333,128
149,Port-Orford-cedar,74.41459369817579,193
547,palm tree,73.75,82
362,eastern cottonwood,73.41804055334471,168
729,western hemlock,73.25651812610367,250
494,mangle hembra,72.6046511627907,115
458,lalanyog,72.34210526315789,156
15,American sycamore,72.32150292455636,160
175,Sitka spruce,72.1174438687392,250
773,yellow-poplar,71.70147961296638,165
212,ais,71.0,75
737,white basswood,70.36253776435045,132
208,adepurot,69.64102564102564,128
99,Inga nobilis,69.5,70
594,red alder,68.7550226830849,151
562,pin oak,68.06350314026518,136
140,Palaquium karrak,67.33333333333333,79
559,persimmon spp.,67.33333333333333,72
205,Wright's laurel canelon,67.0,69
732,western redcedar,66.92223747922237,266
697,syatak,66.58333333333333,165
247,bigtooth aspen,66.41766244785406,127
322,cherrybark oak,66.18995795201583,152
724,water tupelo,66.16460043558385,130
251,bishop pine,66.14772727272727,131
229,baldcypress,66.06307732911058,134
190,Texas red oak,65.62929222144359,155
396,grand fir,65.41037105323808,208
350,cucumbertree,65.37161736941472,131
530,northern red oak,65.20381563163237,155
430,ifi,64.85714285714286,84
734,western white pine,64.83482884679296,222
743,white fir,64.14589473684211,214
630,scarlet oak,64.09359635092707,152
645,silver maple,64.0646878528795,150
641,shellbark hickory,63.97909967845659,121
460,larch spp.,63.833333333333336,108
431,ifi ifi,63.666666666666664,105
597,red hickory,63.60836501901141,115
138,Pacific silver fir,63.55818795723129,236
543,overcup oak,62.96885094600831,143
103,Jeffrey pine,62.8638517880224,193
246,bigleaf maple,62.795928625282734,151
89,Fremont cottonwood,62.773109243697476,161
253,bitternut hickory,62.74733657766671,142
454,kotop,62.38846153846154,115
579,pterocarpus,61.875,85
669,spruce pine,61.77626459143969,130
323,chestnut oak,61.75859336575769,146
67,Coulter pine,61.73913043478261,101
5,American basswood,61.67537126229179,147
401,gray or California foothill pine,61.45824411134904,125
69,Delta post oak,61.4375,101
560,pignut hickory,61.22360923314661,140
747,white oak,61.03653811766108,156
262,black oak,61.02666382950863,149
640,shagbark hickory,60.994471472799646,188
683,swamp cottonwood,60.93589743589744,114
679,sugar maple,60.281196160472554,156
736,white ash,60.257262273999544,146
2,Alexandrian laurel,60.166666666666664,91
272,bloodwoodtree,60.0,60
124,Ochroma pyramidale,60.0,73
766,wingleaf soapberry,60.0,60
54,Carolina basswood,59.99079754601227,128
682,swamp chestnut oak,59.69516490553954,143
480,longleaf pine,59.33129573826948,136
643,shortleaf pine,59.26405679744526,138
264,black walnut,59.12760291846408,135
221,aoa,59.0,100
37,Brewer spruce,58.925,125
196,Unknown dead conifer,58.75,67
170,Shumard oak,58.745209947003666,140
650,slash pine,58.55277809457652,139
129,Oregon ash,58.45220588235294,118
104,Kentucky coffeetree,58.45,112
611,river birch,58.43930022972257,117
686,swamp white oak,58.35279685966634,125
690,sweet birch,58.29955464700299,127
123,Norway spruce,58.28025995125914,112
763,willow oak,58.241691192304934,150
344,cottonwood and poplar spp.,57.907462686567165,110
656,"sour cherry, domesticated",57.75,76
721,water hickory,57.692812982998454,130
476,loblolly pine,57.630812453317034,155
261,black maple,57.31354838709677,115
557,pecan,57.25450274079875,147
662,southern red oak,57.14839403799727,140
367,eastern white pine,56.93243842463821,177
572,ponderosa pine,56.85380019913707,319
585,quaking aspen,56.22719674239177,122
181,Sterculia ponapensis,56.2,64
514,mountain or Fraser magnolia,56.096396817969115,120
78,Engelmann spruce,55.8270600887216,190
433,incense-cedar,55.51322565543071,212
735,white alder,55.41968911917098,116
601,red pine,55.41758776270106,120
769,yellow buckeye,55.40177580466149,142
664,southern shagbark hickory,55.34782608695652,115
32,Austrian pine,55.22118380062305,86
177,Spanish cedar,55.0,79
670,spruce spp.,55.0,55
199,Virginia pine,54.82707168616077,180
51,Caribbean pine,54.81818181818182,61
402,green ash,54.648105460308315,145
259,black locust,54.475988286969255,132
25,Arizona pine,54.44444444444444,91
752,white willow,54.1578947368421,86
294,butternut,54.06149732620321,102
484,magnolia spp.,54.0,90
308,candletree,53.84848484848485,85
599,red maple,53.79955115135998,142
508,mockernut hickory,53.48908490039099,148
451,knobcone pine,53.47752808988764,118
726,waterlocust,53.27131782945737,93
581,pumpkin ash,53.23002159827214,115
685,swamp tupelo,53.1814490363805,135
256,black cherry,53.14454008755137,160
446,kattai,53.0,69
526,northern California black walnut,53.0,87
768,yellow birch,52.94220496529003,113
242,belah,52.8,83
529,northern pin oak,52.77140377940609,110
625,sand hickory,52.52300785634119,121
571,pondcypress,52.50908554572271,130
695,sweetgum,52.4936286961647,172
96,Horsfieldia nunu,52.371428571428574,106
566,plains cottonwood,52.34,113
211,ailanthus,52.267870770796236,110
553,"paulownia, empress-tree",51.90813253012048,94
33,Baker or Modoc cypress,51.833333333333336,65
326,chinkapin oak,51.731393914473685,143
520,narrowleaf cottonwood,51.70987654320987,116
552,paper birch,51.65903723887375,124
171,Siamese cassia,51.64705882352941,82
22,Arizona alder,51.583333333333336,74
31,Atlantic white-cedar,51.48117647058824,110
647,silverbell spp.,51.407407407407405,114
122,Norway maple,51.3794466403162,88
688,swampmahogany,51.29896907216495,98
774,yellowwood,51.285714285714285,98
626,sand pine,51.19939024390244,129
569,pond pine,51.18382586590403,108
642,shingle oak,51.158517098114416,112
6,American beech,50.932720522186955,150
511,mountain hemlock,50.700572406079345,180
231,balsam poplar,50.685367114788,118
265,black willow,50.66739437524079,125
47,California white oak,50.634730538922156,99
479,lodgepole pine,50.557399167131535,147
617,rock elm,50.51744186046512,117
707,tonget,50.45454545454545,73
273,blue ash,50.37451361867704,116
723,water oak,50.32078455757117,159
132,Oriental mangrove,50.296875,93
380,fourleaf buchenavia,50.2,70
681,sugarberry,50.09229719355114,134
255,black ash,50.064710459041905,111
348,cucubano de monte,50.0,50
218,anacardium,50.0,50
307,camphortree,50.0,76
466,laurel oak,49.97637271214642,134
533,nutmeg hickory,49.970588235294116,84
651,slippery elm,49.86517533252721,138
428,honeylocust,49.70323342684187,125
522,nemoca,49.5,66
95,Honduras mahogany,49.26315789473684,95
252,bitter cherry,49.014388489208635,94
17,Anadenanthera peregrina,49.0,55
646,silver poplar,49.0,65
470,leva,49.0,49
417,hackberry,48.95799607554574,129
700,tamarack (native),48.91798225128445,114
551,palo de hierro,48.833333333333336,75
702,tanoak,48.797549171043144,145
56,Carolina silverbell,48.721804511278194,108
595,red beadtree,48.70454545454545,101
691,"sweet cherry, domesticated",48.61327231121282,91
463,laurel avispillo,48.56923076923077,90
423,hickory spp.,48.50212765957447,98
291,bur oak,48.158840579710144,120
573,popona,48.15384615384615,75
764,willow spp.,48.12075983717775,133
183,Table Mountain pine,47.9120559114735,96
694,sweetbay,47.767933138491514,125
575,post oak,47.66387233458824,130
363,eastern hemlock,47.65936900104043,149
225,ash spp.,47.634408602150536,112
564,pitch pine,47.62938784246575,114
593,rauel,47.5,71
137,Pacific madrone,47.42163212435233,135
582,pumpwood,47.411378555798684,97
534,oak spp.,47.38157894736842,82
74,Durand oak,47.31884057971015,106
437,jack pine,47.316203276672375,100
8,American elm,47.2726052417314,138
334,coconut palm,47.26984126984127,93
438,jaguey blanco,47.25,56
57,Celtis paniculata,47.0,75
195,Trichospermum ikutai,47.0,51
113,Mao,46.875,68
748,white pricklyash,46.81203007518797,80
290,bullytree,46.6,65
281,breadfruit,46.474747474747474,90
750,white spruce,46.44426778242678,107
166,Scotch pine,46.42903840915282,116
418,hackberry spp.,46.333333333333336,91
676,subalpine fir,46.18054885565739,146
156,Puerto Rico magnolia,46.142857142857146,66
320,cheesewood,46.0,46
661,southern magnolia,45.82633279483037,125
79,European alder,45.775,68
168,September elm,45.67741935483871,78
498,"maratte, opop",45.666666666666664,53
285,broadleaf lancepod,45.5,56
635,sea hibiscus,45.4625,85
275,blue spruce,45.33646322378717,122
505,milktree,45.285714285714285,55
512,mountain immortelle,45.22,98
535,ochod,45.0,61
125,Ogeechee tupelo,44.865528281750265,100
245,bigleaf magnolia,44.752347417840376,94
343,corkbark fir,44.671507902605725,114
314,catalpa spp.,44.541666666666664,74
128,Olomea,44.5,59
659,southern catalpa,44.5,81
665,southwestern white pine ,44.49484536082474,115
432,ilang-ilang,44.42307692307692,87
521,negra lora,44.416666666666664,62
629,sassafras,44.41291637136782,136
478,loblolly-bay,44.35612424301621,106
527,northern catalpa,44.343859649122805,88
148,Ponapea ledermanniana,44.333333333333336,48
368,elm spp.,44.30201342281879,101
172,Siberian elm,44.28404255319149,96
258,black hickory,44.24513179767276,110
770,yellow mombin,44.21621621621622,69
40,California black oak,44.111661057216395,138
279,boxelder,44.099953461916336,110
209,aguacatillo,44.07142857142857,66
287,"buckeye, horsechestnut spp.",44.0,45
510,motillo,44.0,44
603,red spruce,43.872687052100375,122
1,Alaska yellow-cedar,43.6987784564131,152
263,black spruce,43.69236798973847,96
84,Florida maple,43.662696629213485,131
381,foxtail pine,43.63709677419355,102
48,California-laurel,43.62008469449486,127
312,casia amarilla,43.4,50
377,fir spp.,43.0,52
55,Carolina hemlock,42.98765432098765,86
268,blackgum,42.953451494078195,128
658,sourwood,42.797537549810976,112
421,hemlock spp.,42.666666666666664,56
324,chinaberry,42.47709090909091,94
502,matchwood,42.475903614457835,69
519,muttonwood,42.42857142857143,73
27,Arizona sycamore,42.30769230769231,58
77,Engelmann oak,42.22222222222222,58
727,weeping willow,42.11764705882353,64
495,mango,42.08982035928144,80
19,Antilles calophyllum,42.05128205128205,79
0,African tuliptree,42.04632489190858,93
703,tavai,42.0,52
674,stopper,42.0,42
739,"white bully, willow bustic",41.916666666666664,69
677,subalpine larch,41.87412587412587,125
197,Unknown dead hardwood,41.85230769230769,85
144,Peltophorum pterocarpum,41.81818181818182,48
561,pin cherry,41.59344978165939,98
73,Drypetes yapensis,41.5,58
389,"giant chinkapin, golden chinkapin",41.275151515151514,124
357,doncella,41.05555555555556,65
558,peronia,41.05128205128205,62
110,Maclura tinctoria,41.0,44
371,false breadnut,40.88235294117647,66
709,tropical almond,40.794117647058826,80
233,basswood spp.,40.785714285714285,82
517,mulberry spp.,40.630434782608695,70
20,Apache pine,40.5,66
568,ponce mayten,40.5,41
337,common persimmon,40.44473963868225,117
491,mammee sapote,40.333333333333336,55
317,cedar elm,40.22131979695431,103
672,stinkingtoe,40.0377358490566,84
407,guanabanilla,40.0,40
475,live oak,39.97568881685575,135
623,sacky sac bean,39.85795454545455,79
249,birch spp.,39.857142857142854,98
